Step,rho_g,rho_p,id,p,deltaG,deltaP
3,1.74177,1.43797,758,6452,86,71
4,1.95062,1.87654,5279,1986,79,76
5,1.86122,1.14286,1645,1986,57,35
6,2.29787,2.04255,3019,5996,54,48
7,3.16418,2.80597,6330,5996,53,47
8,5.23457,4.93827,2386,3283,53,50
1,3.34435,1.00635,1986,5996,329,99
2,1.51965,1.27511,758,5996,87,73
3,1.40162,1.27224,937,6452,65,59
4,1.61538,1.4359,1126,5303,63,56
5,1.89558,1.76707,5996,5303,59,55
6,2.35789,2.35789,6330,6330,56,56
7,3.28358,3.04478,5303,2386,55,51
8,5.01205,5.01205,3283,3283,52,52
1,3.34435,1.05718,1986,1126,329,104
2,3.37335,3.45534,3044,1986,288,295
3,1.74177,1.80253,758,1986,86,89
4,1.54248,1.51634,5996,6452,59,58
5,1.84615,1.78138,6452,6330,57,55
6,2.29167,2.29167,5303,5303,55,55
7,3.15328,3.15328,3283,2386,54,54
8,5.01205,5.10843,1645,3283,52,53
1,3.34435,1.04701,1986,2386,329,103
2,1.51965,1.27511,758,5996,87,73
3,1.55844,1.32987,3044,6452,75,64
4,1.66978,1.66978,6330,1126,67,67
5,2.07874,2.04724,5303,3283,66,65
6,2.75132,2.75132,1126,5303,65,65
7,3.87097,3.87097,2386,2386,60,60
8,7.375,8,1645,5303,59,64
1,3.34435,1.07751,1986,3283,329,106
2,1.51965,1.1179,758,2386,87,64
3,1.40162,1.35849,937,5996,65,63
4,1.51634,1.46405,2530,1126,58,56
5,1.696,1.664,5996,6330,53,52
6,2.03046,1.98985,6330,6452,50,49
7,2.7027,2.43243,3283,2386,50,45
8,3.72816,3.72816,5303,5303,48,48
1,3.34435,1.08767,1986,6452,329,107
2,3.31765,1.17647,3044,2386,282,100
3,1.80905,1.28643,5279,2386,90,64
4,1.84431,1.53293,758,5996,77,64
5,2.07407,2.07407,3283,1126,70,70
6,2.6,2.52,3019,6330,65,63
7,3.67407,2.78519,6330,1986,62,47
8,6.68493,6.35616,1645,5303,61,58
1,3.34435,1.07751,1986,3283,329,106
2,1.51965,1.20524,758,5303,87,69
3,1.40162,1.20755,937,3283,65,56
4,1.5746,1.44762,5996,5303,62,57
5,1.89147,1.89147,1126,1126,61,61
6,2.35533,2.35533,6330,6330,58,58
7,3.22302,3.28058,6452,5996,56,57
8,4.97561,5.36585,1645,6452,51,55
1,3.34435,1.05718,1986,1126,329,104
2,3.37335,1.12445,3044,6330,288,96
3,3.42078,3.65247,7462,1986,251,268
4,1.85714,1.42857,758,5996,78,60
5,1.89147,1.79845,1645,2386,61,58
6,2.24,2.24,6452,5303,56,56
7,3.05556,2,3283,1986,55,36
8,4.67416,4.49438,3193,5996,52,50
1,3.34435,1.04701,1986,2386,329,103
2,3.26316,1.22807,3044,3283,279,105
3,1.71852,1.36296,5279,6330,87,69
4,1.7381,1.5,758,5996,73,63
5,2.02198,2.1685,3283,1986,69,74
6,2.45226,2.21106,1126,3283,61,55
7,3.24638,3.24638,6452,6452,56,56
8,5.17073,5.17073,5303,5303,53,53
1,3.34435,1.07751,1986,3283,329,106
2,1.51965,1.13537,758,6452,87,65
3,1.40162,1.2938,937,6330,65,60
4,1.51634,1.30719,2530,5303,58,50
5,1.64516,1.25806,5996,2386,51,39
6,1.83732,1.76077,1126,6330,48,46
7,2.20859,2.35583,3283,5996,45,48
8,3.06087,3.13043,5303,3283,44,45
1,3.34435,1.07751,1986,3283,329,106
2,1.51965,1.18777,758,3283,87,68
3,1.55897,1.41538,3044,6330,76,69
4,1.71963,1.59502,5996,6452,69,64
5,2.11673,2.11673,1126,1126,68,68
6,2.75132,2.75132,5303,5303,65,65
7,4,4,2386,2386,62,62
8,7.6129,8,1645,5996,59,62
1,3.34435,1.04701,1986,2386,329,103
2,1.51965,1.1179,758,2386,87,64
3,1.60406,1.42132,3044,6330,79,70
4,1.7037,1.7037,5996,5996,69,69
5,2.13333,2.03922,5303,1126,68,65
6,2.73797,2.69519,1126,3283,64,63
7,4.09756,3.96748,1645,6452,63,61
8,7.86667,7.73333,6452,3283,59,58
1,3.34435,1.07751,1986,3283,329,106
2,1.51965,1.22271,758,6330,87,70
3,1.40162,1.20755,937,3283,65,56
4,1.5746,1.5746,5996,1126,62,62
5,1.86561,1.80237,1126,6330,59,57
6,2.39175,2.30928,6452,5303,58,56
7,3.24638,3.24638,6330,6452,56,56
8,4.97561,5.36585,1645,6452,51,55
1,3.34435,1.07751,1986,3283,329,106
2,1.51965,1.1179,758,2386,87,64
3,1.40162,1.35849,937,5996,65,63
4,1.55844,1.50649,1126,6452,60,58
5,1.87097,1.83871,6452,5303,58,57
6,2.35789,2.27368,6330,3283,56,54
7,3.17647,3.23529,5303,6330,54,55
8,4.87805,4.87805,2386,2386,50,50
1,3.34435,1.05718,1986,5303,329,104
2,1.51965,1.22271,758,6330,87,70
3,1.52577,1.46392,6880,5996,74,71
4,1.68153,1.3758,1126,3283,66,54
5,1.78462,2.03077,5996,1126,58,66
6,2.30928,2.18557,2386,6452,56,53
7,3.00709,3.00709,5303,5303,53,53
8,4.54545,5.09091,1645,2386,50,56
1,3.34435,1.04701,1986,2386,329,103
2,3.26316,1.1462,3044,6330,279,98
3,1.71852,1.24444,5279,5303,87,63
4,1.61006,1.38365,6452,3283,64,55
5,1.98425,1.66929,1126,5996,63,53
6,2.34555,2.30366,1645,3283,56,55
7,3.23529,2.88235,3019,5996,55,49
8,5.23457,4.83951,6330,5303,53,49
1,3.34435,1.05718,1986,5303,329,104
2,1.51965,1.13537,758,6452,87,65
3,1.60814,1.38422,3044,3283,79,68
4,1.68153,1.3758,1126,5303,66,54
5,1.87692,1.75385,5996,3283,61,57
6,2.25126,2.25126,3283,3283,56,56
7,3.02098,3.02098,6330,2386,54,54
8,4.85393,4.85393,2386,2386,54,54
1,3.34435,1.08767,1986,6452,329,107
2,1.51965,1.13537,758,6452,87,65
3,1.60814,1.46565,3044,5996,79,72
4,1.68153,1.55414,1126,5996,66,61
5,1.80237,1.80237,3283,3283,57,57
6,2.20408,2.20408,6330,2386,54,54
7,2.98592,2.98592,5303,5303,53,53
8,4.58427,5.39326,3019,1126,51,60
1,3.34435,1.08767,1986,6452,329,107
2,3.31765,1.2,3044,5303,282,102
3,1.80905,1.68844,5279,1986,90,84
4,1.63636,1.37662,1126,5996,63,53
5,1.86122,1.14286,1645,1986,57,35
6,2.29787,2.04255,3019,5996,54,48
7,3.16418,3.16418,6330,6330,53,53
8,5.23457,1.38272,2386,1986,53,14
1,3.34435,1.04701,1986,2386,329,103
2,1.51965,1.20524,758,5303,87,69
3,1.50129,1.43959,3044,6330,73,70
4,1.75549,1.60502,5996,2386,70,64
5,2.10196,2.10196,1126,1126,67,67
6,2.80851,2.76596,1645,5996,66,65
7,4.03252,3.96748,3283,6452,62,61
8,6.96774,8,3019,3283,54,62
1,3.34435,1.05718,1986,5303,329,104
2,1.51965,1.22271,758,6330,87,70
3,1.52577,1.42268,6880,5303,74,69
4,1.75549,1.65517,5996,3283,70,66
5,2.11858,2.11858,1126,1126,67,67
6,2.70968,2.66667,1645,6452,63,62
7,3.96748,3.96748,2386,2386,61,61
8,7.6129,7.74194,6452,5996,59,60
Step,rho_g,rho_p,id,p,deltaG,deltaP
1,3.44302,1.05698,1986,3193,329,101
2,1.47458,1.23729,758,5996,87,73
3,1.31757,1.07432,937,2386,65,53
4,1.42711,1.26598,5996,3283,62,55
5,1.63393,1.63393,1126,5996,61,61
6,1.89818,1.86545,6452,6330,58,57
7,2.35321,2.35321,5303,6452,57,57
8,2.73913,2.68323,1645,3019,49,48
9,3.85714,4.33929,3193,5303,48,54
1,3.44302,1.1093,1986,3283,329,106
2,1.47458,1.23729,758,5996,87,73
3,1.31757,1.19595,937,1645,65,59
4,1.37731,1.18734,2530,3283,58,50
5,1.42991,1.09346,5996,2386,51,39
6,1.53191,1.43617,1126,3283,48,45
7,1.74684,1.74684,6330,6330,46,46
8,2.0733,2.26178,6452,5996,44,48
9,2.57143,2.32653,5303,3193,42,38
1,3.44302,1.1093,1986,3283,329,106
2,3.37798,1.19363,3044,1645,283,100
3,1.58599,1.22293,758,2386,83,64
4,1.61425,1.57002,1126,6452,73,71
5,1.90179,1.76786,3019,6330,71,66
6,2.03333,1.9,5996,3193,61,57
7,2.49296,2.91549,1645,3019,59,69
8,3.27273,3.27273,5303,5303,56,56
9,2.84694,5.41837,7462,5996,31,59
1,3.44302,1.07791,1986,2386,329,103
2,1.47458,1.18644,758,1645,87,70
3,1.31757,1.01351,937,3019,65,50
4,1.41624,1.37056,5996,6330,62,60
5,1.61677,1.53593,1126,6452,60,57
6,1.87226,1.77372,6452,3283,57,54
7,2.23963,2.23963,5303,3283,54,54
8,2.92638,2.37423,3283,3193,53,43
9,4.17273,4.09091,2386,1645,51,50
1,3.44302,1.05698,1986,3193,329,101
2,1.47458,1.18644,758,6330,87,70
3,1.44469,1.30803,6880,3283,74,67
4,1.57614,1.41624,5996,3019,69,62
5,1.85538,1.85538,5303,5303,67,67
6,2.23256,2.12791,1126,6452,64,61
7,2.7868,2.64975,2386,3019,61,58
8,3.69065,3.94964,1645,2386,57,61
9,5.88462,5.88462,3193,3193,51,51
1,3.44302,1.07791,1986,2386,329,103
2,1.47458,1.18644,758,6330,87,70
3,1.44469,1.13232,6880,3193,74,58
4,1.53488,1.32558,1126,1645,66,57
5,1.55455,1.39091,5996,3019,57,51
6,1.83871,1.64516,2386,3283,57,51
7,2.22973,2.18919,5303,5996,55,54
8,2.73214,2.67857,3193,6452,51,50
9,3.66102,3.73729,3283,3193,48,49
1,3.44302,1.11977,1986,1645,329,107
2,3.33466,1.19522,3044,3193,279,100
3,3.29403,1.32312,7462,6330,239,96
4,3.11849,1.56732,6880,5303,193,97
5,3.13043,1.83913,5279,3283,160,94
6,2.1,1.92,6452,5996,70,64
7,2.59322,2.63136,2386,6452,68,69
8,3.53571,3.53571,3019,3019,66,66
9,5.29412,5.91176,3283,6452,60,67
1,3.44302,1.07791,1986,3019,329,103
2,1.47458,1.23729,758,5996,87,73
3,1.4738,1.33624,3044,5303,75,68
4,1.56923,1.5,6330,1645,68,65
5,1.81677,1.64907,1126,3019,65,59
6,2.19011,2.05323,3283,6452,64,60
7,2.74877,2.83744,2386,3283,62,64
8,3.82979,3.82979,1645,1645,60,60
9,5.66667,6.55556,3193,3283,51,59
1,3.44302,1.11977,1986,1645,329,107
2,1.47458,1.10169,758,6452,87,65
3,1.52575,1.08155,3044,3193,79,56
4,1.58049,1.49268,5996,3283,72,68
5,1.76316,1.76316,6330,6330,67,67
6,2.09455,2.02909,5303,1645,64,62
7,2.70423,2.49296,1126,3019,64,59
8,3.62416,3.80537,2386,5996,60,63
9,5.54651,6.06977,3019,2386,53,58
1,3.44302,1.11977,1986,6452,329,107
2,1.47458,1.18644,758,1645,87,70
3,1.48373,1.19089,5279,3019,76,61
4,1.4026,1.37922,2530,6330,60,59
5,1.46769,1.30154,937,3283,53,47
6,1.55515,1.52206,1126,5996,47,46
7,1.71239,1.63274,6330,6452,43,41
8,2.04324,1.94595,3283,2386,42,40
9,2.42069,2.6069,5303,3283,39,42
1,3.44302,1.03605,1986,6330,329,99
2,3.39422,1.17083,3044,3193,287,99
3,1.63291,1.23418,5279,5996,86,65
4,1.46134,1.27577,6452,2386,63,55
5,1.68923,1.57846,1126,3019,61,57
6,1.84701,1.81343,3283,2386,55,54
7,2.27103,2.27103,1645,1645,54,54
8,2.86875,2.7,5303,3193,51,48
9,3.85714,3.9375,5996,3283,48,49
1,3.44302,1.07791,1986,3019,329,103
2,3.40026,1.16513,3044,6330,286,98
3,1.56688,1.29936,5279,6330,82,68
4,1.50386,1.24936,6452,5303,65,54
5,1.58507,1.47761,1126,3283,59,55
6,1.8913,1.82609,1645,6330,58,56
7,2.27064,2.22936,6330,2386,55,54
8,2.9816,2.65031,2386,3193,54,48
9,3.83478,4.06957,3283,2386,49,52
1,3.44302,1.07791,1986,2386,329,103
2,1.47458,1.18644,758,1645,87,70
3,1.48373,1.24946,5279,3283,76,64
4,1.4026,1.26234,2530,2386,60,54
5,1.63142,1.4139,1126,3193,60,52
6,1.87097,1.70968,6330,5303,58,53
7,2.23009,2.23009,5996,5996,56,56
8,2.7,2.96471,6452,6330,51,56
9,3.85714,3.85714,3283,3283,51,51
1,3.44302,1.11977,1986,1645,329,107
2,1.47458,1.05085,758,3019,87,62
3,1.31757,1.27703,937,5996,65,63
4,1.41732,1.37008,1126,6452,60,58
5,1.62617,1.62617,6452,6452,58,58
6,1.91635,1.74525,6330,2386,56,51
7,2.3913,2.30435,5303,1645,55,53
8,3.07895,3.01974,3283,2386,52,51
9,4.54455,3.83168,1645,3193,51,43
1,3.44302,1.03605,1986,6330,329,99
2,1.47458,1.18644,758,1645,87,70
3,1.48373,1.36659,5279,5996,76,70
4,1.5422,1.42711,6330,6452,67,62
5,1.83283,1.58663,1126,3019,67,58
6,2.09225,2.19188,5303,6330,63,66
7,2.63942,2.29327,3283,3193,61,53
8,3.48387,3.77419,2386,6330,60,65
9,2.3,6,782,3283,23,60
1,3.44302,1.07791,1986,2386,329,103
2,1.47458,1.08475,758,2386,87,64
3,1.31757,1.07432,937,2386,65,53
4,1.42711,1.17391,5996,3193,62,51
5,1.56176,1.45588,6330,3283,59,55
6,1.85765,1.5694,1126,3019,58,49
7,2.30045,2.21973,1645,5303,57,55
8,2.89286,2.46429,6452,3019,54,46
9,3.83607,3.90984,3283,6452,52,53
1,3.44302,1.03605,1986,6330,329,99
2,1.47458,1.18644,758,1645,87,70
3,1.48373,1.19089,5279,3019,76,61
4,1.4026,1.26234,2530,3283,60,54
5,1.63142,1.38671,1126,3019,60,51
6,1.89299,1.62731,6330,3019,57,49
7,2.22973,2.10811,6452,5996,55,52
8,2.80588,2.91176,2386,6452,53,55
9,3.84615,4.23077,5303,6330,50,55
1,3.44302,1.11977,1986,6452,329,107
2,1.47458,1,758,3193,87,59
3,1.48729,1.20127,5279,2386,78,63
4,1.43909,1.27919,937,6452,63,56
5,1.57101,1.54438,5996,6330,59,58
6,1.86429,1.67143,1645,5303,58,52
7,2.27027,2.02703,1126,3019,56,50
8,2.87349,2.87349,3283,3283,53,53
9,4.14159,4.14159,2386,2386,52,52
1,3.44302,1.03605,1986,6330,329,99
2,1.47458,1.18644,758,1645,87,70
3,1.48373,1.34707,5279,6330,76,69
4,1.58418,1.53827,1126,5303,69,67
5,1.85538,1.63385,5996,6452,67,59
6,2.12791,2.12791,2386,2386,61,61
7,2.69543,2.64975,6452,3019,59,58
8,3.84783,3.84783,3283,3283,59,59
9,6.49367,6.49367,3019,3019,57,57
1,3.44302,1.1093,1986,3283,329,106
2,1.47458,1.23729,758,5996,87,73
3,1.31757,1.01351,937,3019,65,50
4,1.37731,1.18734,2530,3283,58,50
5,1.42991,1.26168,5996,1645,51,45
6,1.5,1.43333,3283,1645,45,43
7,1.78414,1.70485,1126,6452,45,43
8,2.10326,1.90761,5303,3193,43,39
9,2.6069,2.6069,6330,6330,42,42
1,3.44302,1.07791,1986,3019,329,103
2,1.47458,1.08475,758,2386,87,64
3,1.52248,1.34904,3044,6330,79,70
4,1.50773,1.39175,1126,5996,65,60
5,1.6161,1.58824,6452,6330,58,57
6,1.89474,1.55639,1645,3193,56,46
7,2.25,2.29091,5996,1645,55,56
8,2.85366,2.68902,5303,3019,52,49
9,4.01786,4.01786,3283,3283,50,50
1,3.44302,1.11977,1986,6452,329,107
2,1.47458,1.15254,758,3283,87,68
3,1.31757,1.21622,937,6330,65,60
4,1.37731,1.25858,2530,6330,58,53
5,1.42991,1.42991,5996,5996,51,51
6,1.5,1.43333,3283,1645,45,43
7,1.8,1.32,1126,3019,45,33
8,2.0625,2.0625,6330,6330,44,44
9,2.61486,2.31081,5303,2386,43,38
1,3.44302,1.11977,1986,6452,329,107
2,1.47458,1.18644,758,6330,87,70
3,1.44469,1.30803,6880,3283,74,67
4,1.57614,1.57614,5996,5996,69,69
5,1.85538,1.74462,5303,6452,67,63
6,2.23256,2.12791,1126,2386,64,61
7,2.7868,2.69543,6452,1645,61,59
8,3.83824,3.77206,3019,1645,58,57
9,5.92405,6.49367,3193,3019,52,57
1,3.44302,1.11977,1986,6452,329,107
2,1.47458,1,758,3193,87,59
3,1.48729,1.16314,5279,3019,78,61
4,1.55474,1.37956,5996,2386,71,63
5,1.78448,1.78448,6330,5996,69,69
6,2.09677,2.09677,5303,1645,65,65
7,2.56542,2.7757,3283,6330,61,66
8,3.46622,3.64865,6452,3283,57,60
9,5.72727,5.82955,1126,6452,56,57
1,3.44302,1.11977,1986,1645,329,107
2,1.47458,1.18644,758,6330,87,70
3,1.44469,1.24946,6880,6452,74,64
4,1.53488,1.32558,1126,1645,66,57
5,1.59813,1.59813,5996,5996,57,57
6,1.90909,1.67045,5303,3193,56,49
7,2.30233,2.30233,2386,2386,55,55
8,2.98125,2.86875,1645,3283,53,51
9,4.12844,3.79817,6452,3019,50,46
1,3.44302,1.08837,1986,5303,329,104
2,1.47458,1.05085,758,3019,87,62
3,1.51599,1.22814,3044,2386,79,64
4,1.43077,1.31538,1126,1645,62,57
5,1.54054,1.54054,6330,6330,57,57
6,1.82609,1.76087,2386,5303,56,54
7,2.20909,2.20909,5303,5303,54,54
8,2.87349,2.76506,5996,6452,53,51
9,4.06195,4.06195,6452,6452,51,51
1,3.44302,1.11977,1986,6452,329,107
2,1.47458,1,758,3193,87,59
3,1.48729,1.39195,5279,5996,78,73
4,1.43909,1.32487,937,3283,63,58
5,1.58036,1.5,5996,6452,59,56
6,1.81949,1.787,6330,1645,56,55
7,2.18919,2.22973,1126,6330,54,55
8,2.8024,2.64072,6452,3019,52,49
9,3.9661,3.81356,2386,5303,52,50
1,3.44302,1.08837,1986,5303,329,104
2,1.47458,1.16949,758,5303,87,69
3,1.42208,1.18831,3044,3019,73,61
4,1.57107,1.50374,6330,3283,70,67
5,1.84894,1.79456,5996,3283,68,66
6,2.19011,2.12167,3283,2386,64,62
7,2.75879,2.75879,2386,2386,61,61
8,3.91304,3.78261,6452,1645,60,58
9,6.80769,6.46154,1126,1645,59,56
1,3.44302,1.1093,1986,3283,329,106
2,1.47458,1.10169,758,6452,87,65
3,1.31757,1.27703,937,5996,65,63
4,1.37731,1.18734,2530,6452,58,50
5,1.42991,1.26168,5996,1645,51,45
6,1.56522,1.43478,1126,5303,48,44
7,1.73684,1.73684,6330,6330,44,44
8,2.10326,1.8587,5303,2386,43,38
9,2.65068,2.65068,3283,5996,43,43
1,3.44302,1.03605,1986,6330,329,99
2,1.47458,1.23729,758,5996,87,73
3,1.4738,1.21834,3044,2386,75,62
4,1.48042,1.29243,2530,2386,63,55
5,1.70122,1.53659,1126,3283,62,56
6,1.88603,1.81985,6452,6330,57,55
7,2.28111,2.03226,5303,3193,55,49
8,2.88889,3,3019,6452,52,54
9,3.83333,3.75,1645,3193,46,45
1,3.44302,1.08837,1986,5303,329,104
2,3.28571,1.25,3044,6452,276,105
3,1.66875,1.3125,5279,6452,89,70
4,1.69024,1.47073,758,6330,77,67
5,1.83673,1.8105,1126,3019,70,69
6,2.26642,2.10219,3283,2386,69,64
7,2.65714,2.57143,1645,5996,62,60
8,3.3,3.3,3193,3193,55,55
9,2.55789,5.68421,6880,1645,27,60
1,3.44302,1.1093,1986,3283,329,106
2,3.37798,1.19363,3044,1645,283,100
3,3.28899,1.27982,7462,5996,239,93
4,3.03209,1.57219,5279,3193,189,98
5,1.8629,1.52419,7705,5303,77,63
6,2.09709,2.03883,6452,2386,72,70
7,2.58228,2.58228,6330,2386,68,68
8,3.56805,3.56805,3019,6330,67,67
9,5.73529,5.29412,1126,3193,65,60
1,3.44302,1.05698,1986,3193,329,101
2,1.47458,1.15254,758,3283,87,68
3,1.31757,1.19595,937,1645,65,59
4,1.47273,1.21558,1126,2386,63,52
5,1.62112,1.36957,6330,3193,58,49
6,1.87912,1.78022,5996,6452,57,54
7,2.13699,2.05479,5303,2386,52,50
8,2.7485,2.37126,3283,3019,51,44
9,3.65854,3.65854,2386,2386,50,50
1,3.44302,1.11977,1986,6452,329,107
2,1.47458,1.08475,758,2386,87,64
3,1.52248,1.19486,3044,3019,79,62
4,1.50773,1.29897,1126,5303,65,56
5,1.6161,1.58824,6452,1645,58,57
6,1.89474,1.89474,6330,6330,56,56
7,2.31429,2.22857,5303,5996,54,52
8,3,2.53846,5996,3193,52,44
9,4.24038,4.24038,3283,3283,49,49
1,3.44302,1.07791,1986,3019,329,103
2,1.47458,1.18644,758,1645,87,70
3,1.31757,1.17568,937,5303,65,58
4,1.37731,1.32982,2530,5996,58,56
5,1.47678,1.39319,1126,3283,53,50
6,1.66667,1.5,6330,2386,50,45
7,2,1.96,3283,5303,50,49
8,2.45455,2.45455,6452,6452,48,48
9,3.16406,3.44531,1645,3283,45,49
1,3.44302,1.03605,1986,6330,329,99
2,3.39422,1.25361,3044,1645,287,106
3,1.63291,1.23418,5279,2386,86,65
4,1.60636,1.54034,758,3283,73,70
5,1.6875,1.52679,1126,5996,63,57
6,1.97802,1.97802,6452,6452,60,60
7,2.40845,2.40845,3283,3283,57,57
8,3,2.88462,5996,3019,52,50
9,4.32692,4.15385,5303,3193,50,48
1,3.44302,1.1093,1986,3283,329,106
2,3.37798,1.22944,3044,3019,283,103
3,3.2765,1.32719,7462,6330,237,96
4,1.63043,1.5,5279,3193,75,69
5,1.61947,1.32743,6452,5996,61,50
6,1.97482,1.55396,1126,5996,61,48
7,2.447,2.23963,2386,1645,59,54
8,3.07595,2.79114,6330,5303,54,49
9,4.29358,3.88073,1645,3193,52,47
1,3.44302,1.11977,1986,1645,329,107
2,1.47458,1,758,3193,87,59
3,1.31757,1.19595,937,1645,65,59
4,1.37731,1.18734,2530,3283,58,50
5,1.42991,0.925234,5996,3019,51,33
6,1.5,1.26667,3283,2386,45,38
7,1.74569,1.7069,1126,5303,45,44
8,2.10638,2.05851,6330,6452,44,43
9,2.625,2.0625,6452,3019,42,33
1,3.44302,1.07791,1986,3019,329,103
2,3.40026,1.22457,3044,5303,286,103
3,1.56688,1.3758,5279,3283,82,72
4,1.6015,1.42105,6452,3193,71,63
5,1.79464,1.6875,1126,1645,67,63
6,2.14286,1.87912,6330,5303,65,57
7,2.59615,2.46635,2386,5303,60,57
8,3.51656,3.51656,5996,5996,59,59
9,2.25,5.96739,758,6452,23,61
1,3.44302,1.05698,1986,3193,329,101
2,1.47458,1.18644,758,6330,87,70
3,1.31757,1.21622,937,6330,65,60
4,1.37731,1.18734,2530,1645,58,50
5,1.42991,0.925234,5996,3019,51,33
6,1.5,1.46667,3283,6330,45,44
7,1.8,1.76,1126,6452,45,44
8,2.2,1.9,6452,2386,44,38
9,2.72535,2.66197,6330,5303,43,42
1,3.44302,1.11977,1986,6452,329,107
2,3.37052,1.15936,3044,3193,282,97
3,1.71975,1.35669,5279,3019,90,71
4,1.48819,1.25197,1126,5996,63,53
5,1.61321,1.58491,1645,3283,57,56
6,1.86207,1.86207,3019,3019,54,54
7,2.30435,2.21739,6330,3283,53,51
8,3,3,2386,6330,52,52
9,4.15385,4.5,5303,2386,48,52
1,3.44302,1.07791,1986,3019,329,103
2,3.40026,1.26024,3044,3283,286,106
3,3.2765,1.36866,7462,3193,237,99
4,1.63043,1.5,5279,2386,75,69
5,1.61947,1.32743,6452,5996,61,50
6,1.86851,1.68166,2386,3193,60,54
7,2.18298,2.18298,6330,6330,57,57
8,2.67978,2.67978,1645,1645,53,53
9,3.816,3.888,1126,6452,53,54
1,3.44302,1.05698,1986,3193,329,101
2,1.47458,1.23729,758,5996,87,73
3,1.4738,1.17904,3044,3019,75,60
4,1.48042,1.29243,2530,2386,63,55
5,1.51875,1.40625,1126,5303,54,50
6,1.72556,1.59023,6452,6330,51,47
7,2.0137,1.9726,5303,3283,49,48
8,2.48824,2.48824,3283,2386,47,47
9,3.36585,3.36585,2386,2386,46,46
1,3.44302,1.11977,1986,6452,329,107
2,1.47458,1.16949,758,5303,87,69
3,1.31757,1.05405,937,3193,65,52
4,1.44643,1.19388,5996,2386,63,52
5,1.56176,1.53529,6330,1645,59,58
6,1.88298,1.7234,1126,6452,59,54
7,2.09211,2.25,5303,6330,53,57
8,2.62286,2.36571,3283,3019,51,46
9,1.74419,4.04651,782,5996,25,58
1,3.44302,1.07791,1986,3019,329,103
2,3.40026,1.1889,3044,3193,286,100
3,3.28767,1.36986,7462,2386,240,100
4,2.94075,1.64811,5279,1645,182,102
5,2.82857,1.85934,6880,6330,143,94
6,2.19231,2.16346,1126,6330,76,75
7,2.58228,2.39241,5303,6452,68,63
8,3.51479,3.51479,5996,5996,66,66
9,5.24272,5.15534,6452,3283,60,59
1,3.44302,1.11977,1986,1645,329,107
2,3.33466,1.19522,3044,3193,279,100
3,1.67089,1.29114,5279,6330,88,68
4,1.46891,1.25907,1126,2386,63,54
5,1.72755,1.50464,6452,3019,62,54
6,1.84015,1.70632,6330,3283,55,51
7,2.27103,1.89252,2386,5996,54,45
8,2.71598,2.71598,5303,5303,51,51
9,3.66102,4.42373,3283,6452,48,58
1,3.44302,1.05698,1986,3193,329,101
2,1.47458,1.08475,758,2386,87,64
3,1.31757,1.01351,937,3019,65,50
4,1.37731,1.11609,2530,3193,58,47
5,1.51807,1.3012,5996,5303,56,48
6,1.66304,1.56522,6330,1645,51,48
7,1.97368,1.46053,1126,3019,50,37
8,2.26178,2.26178,5303,5303,48,48
9,2.95804,2.70629,3283,6452,47,43
1,3.44302,1.03605,1986,6330,329,99
2,3.39422,1.20631,3044,3019,287,102
3,3.31866,1.39302,7462,2386,243,102
4,1.73077,1.42788,5279,5303,80,66
5,1.60714,1.41964,6452,5303,60,53
6,1.92391,1.56522,2386,5996,59,48
7,2.40553,1.99078,1126,5996,58,48
8,3.16981,2.60377,1645,5996,56,46
9,4.45631,3.84466,3283,5996,51,44
1,3.44302,1.05698,1986,3193,329,101
2,1.47458,1,758,3193,87,59
3,1.31757,1.01351,937,3019,65,50
4,1.37731,1.32982,2530,5996,58,56
5,1.42991,0.925234,5996,3019,51,33
6,1.46875,1.21875,1126,2386,47,39
7,1.6805,1.45643,6330,2386,45,39
8,2.06633,2.11224,3283,5996,45,46
9,2.56291,2.50331,6452,5303,43,42
1,3.44302,1.07791,1986,2386,329,103
2,1.47458,1.15254,758,3283,87,68
3,1.31757,1.19595,937,1645,65,59
4,1.47273,1.14545,1126,3019,63,49
5,1.62112,1.42547,6330,2386,58,51
6,1.90909,1.73864,5303,2386,56,51
7,2.37981,2.29327,5996,6452,55,53
8,2.96129,2.96129,2386,2386,51,51
9,4.24038,4.24038,3283,3283,49,49
Step,rho_g,rho_p,id,p,deltaG,deltaP
1,3.49628,1.05207,1986,6330,329,99
2,1.42157,1.06209,758,6452,87,65
3,1.2381,1.00952,937,2386,65,53
4,1.31356,1.31356,5996,1126,62,62
5,1.43902,1.19512,1126,3019,59,49
6,1.65242,1.65242,6452,6452,58,58
7,1.91126,1.80887,6330,3283,56,53
8,2.25,1.91667,5303,3193,54,46
9,2.63441,2.36559,1645,3193,49,44
10,3.09859,3.4507,3019,1645,44,49
1,3.49628,1.05207,1986,6330,329,99
2,1.42157,1.14379,758,1645,87,70
3,1.2381,0.952381,937,3019,65,50
4,1.26087,1.21739,2530,1126,58,56
5,1.31188,1.31188,5996,5996,53,53
6,1.4245,1.4245,6330,6330,50,50
7,1.62791,1.56146,5303,1645,49,47
8,1.90476,1.90476,3283,3283,48,48
9,2.30392,2.20588,6452,1645,47,45
10,2.7673,2.64151,2386,3193,44,42
1,3.49628,1.07333,1986,3193,329,101
2,1.42157,1.19281,758,5996,87,73
3,1.39147,1.18738,3044,6452,75,64
4,1.35776,1.22845,2530,3283,63,57
5,1.52334,1.30221,1126,3019,62,53
